CAIUS,Gonville and Caius College
INIMS,Isaac Newton Institute for Mathematical Sciences
MATHS,Faculty of Mathematics
DAMTP,Department of Applied Maths and Theoretical Physics
CCBI,Cambridge Computational Biology Institute
CMS,Centre for Mathematical Sciences
ESCI,Cambridge eScience Centre
DPMMS,Department of Pure Maths and Mathematical Statistics
PC,Faculty of Physics and Chemistry
CHEM,Department of Chemistry
POLYMER,Melville Laboratory for Polymer Synthesis
IOA,Institute of Astronomy
KICC,Kavli Institute for Cosmology
MET,Department of Materials Science and Metallurgy
PHY,Department of Physics
SPHS,School of the Physical Sciences (office)
CEB,Department of Chemical Engineering and Biotechnology
CL,Computer Laboratory
CLTCH,Computer Laboratory Teaching
CPI,Institute for Sustainability Leadership
CSAP,Centre for Science and Policy
ENG,Department of Engineering
JIMS,Judge Business School
CEC,Centre for Entrepreneurial Learning
JEE,Judge Executive Education Ltd
STEC,Office of School of Technology
HNRSTUD,MRC Human Nutrition Research Students
